HK0345,VITASOY INT'L,维他奶国际集团有限公司,乳制品
HK0346,延长石油国际,延长石油国际有限公司,油气开采
HK0347,鞍钢股份,鞍钢股份有限公司,钢铁
HK0348,中国智能健康,中国智能健康控股有限公司,玩具
HK0351,亚洲能源物流,亚洲能源物流集团有限公司,港口运输
HK0352,富阳,富阳(中国)控股有限公司,房地产服务
HK0353,能源国际投资,能源国际投资控股有限公司,油气开采
HK0354,中国软件国际,中软国际有限公司,信息化服务
HK0355,世纪城市国际,世纪城市国际控股有限公司,酒店
HK0356,鼎立资本,鼎立资本有限公司,--
HK0357,瑞港集团,海航基础股份有限公司,航空运输
HK0358,江西铜业股份,江西铜业股份有限公司,铜
HK0359,海升果汁,中国海升果汁控股有限公司,果汁饮料
HK0360,新焦点,新焦点汽车技术控股有限公司,其他服务
HK0361,顺龙控股,顺龙控股有限公司,体育用品
HK0362,信阳毛尖,中国天化工集团有限公司,化工用品
HK0363,上海实业控股,上海实业控股有限公司,综合
HK0364,区块链集团,区块链集团有限公司,茶
HK0365,紫光控股,紫光科技(控股)有限公司,电子元器件
HK0366,陆氏集团(越南),陆氏集团(越南控股)有限公司,水泥
HK0367,庄士机构国际,庄士机构国际有限公司,房地产
HK0368,中外运航运,中外运航运有限公司,港口运输
HK0369,永泰地产,永泰地产有限公司,房地产
HK0370,国华,国华集团控股有限公司,消费电子
HK0371,北控水务集团,北控水务集团有限公司,水务
HK0372,保德国际发展,保德国际发展企业有限公司,资产管理
HK0373,联合集团,联合集团有限公司,信贷
HK0374,四洲集团,四洲集团有限公司,包装食品
HK0375,YGM TRADING,YGM贸易有限公司,服装配套
HK0376,云锋金融,云锋金融集团有限公司,证券
HK0377,华君国际集团,华君控股有限公司,包装印刷
HK0378,五龙动力,五龙动力有限公司,资产管理
HK0379,恒嘉融资租赁,中国恒嘉融资租赁集团有限公司,融资租赁
HK0380,冠力国际,冠力国际有限公司,管材
HK0381,侨雄国际,侨雄国际控股有限公司,玩具
HK0382,,威灵控股有限公司,电子元器件
HK0383,中国医疗网络,中国医疗网络有限公司,其他
HK0384,中国燃气,中国燃气控股有限公司,燃气
HK0385,建联集团,建联集团有限公司,房屋建筑
HK0386,中国石油化工股份,中国石油化工股份有限公司,油气开采
HK0387,力丰(集团),力丰(集团)有限公司,电子元器件
HK0388,香港交易所,香港交易及结算所有限公司,其他金融
HK0389,通天酒业,中国通天酒业集团有限公司,葡萄酒
HK0390,中国中铁,中国中铁股份有限公司,建筑工程
HK0391,美亚娱乐资讯,美亚娱乐资讯集团有限公司,影视
HK0392,北京控股,北京控股有限公司,燃气
HK0393,旭日企业,旭日企业有限公司,服装配套
HK0395,中国智能集团,中国智能集团控股有限公司,电商及互联网
HK0396,兴利(香港)控股,兴利(香港)控股有限公司,家具家居
HK0397,权威金融,君阳金融控股有限公司,证券
HK0398,东方表行集团,东方表行集团有限公司,钟表
HK0399,领航医药生物科技,领航医药及生物科技有限公司,化妆品
HK0400,科通芯城,科通芯城集团,电商及互联网
HK0401,万嘉集团,万嘉集团控股有限公司,医药商业
HK0402,天下图控股,天下图控股有限公司,软件开发
HK0403,星光集团,星光集团有限公司,包装印刷
HK0404,新昌集团控股,新昌集团控股有限公司,房屋建筑
HK0406,有利集团,有利集团有限公司,房屋建筑
HK0408,叶氏化工集团,叶氏化工集团有限公司,化工用品
HK0410,SOHO中国,SOHO中国有限公司,地产投资
HK0411,南顺(香港),南顺(香港)有限公司,面粉
HK0412,中国山东高速金融,中国山东高速金融集团有限公司,融资租赁
HK0413,南华集团控股,南华集团控股有限公司,玩具
HK0416,锦州银行,锦州银行股份有限公司,银行
HK0417,谢瑞麟,谢瑞麟珠宝(国际)有限公司,珠宝首饰
HK0418,方正控股,方正控股有限公司,软件开发
HK0419,华谊腾讯娱乐,华谊腾讯娱乐有限公司,健康管理
HK0420,福田实业,福田实业(集团)有限公司,纺织品
HK0422,越南制造加工出口,越南制造加工出口(控股)有限公司,汽车零部件
HK0423,经济日报集团,香港经济日报集团有限公司,出版
HK0425,敏实集团,敏实集团有限公司,汽车零部件
HK0426,万华媒体,万华媒体集团有限公司,出版
HK0428,中国天弓控股,汇嘉中国控股有限公司,--
HK0430,东方网库,东方网库控股有限公司,资产管理
HK0431,大中华金融,大中华金融控股有限公司,综合
HK0432,盈大地产,盈科大衍地产发展有限公司,房地产
HK0433,北方矿业,北方矿业股份有限公司,其他金属矿物
HK0434,博雅互动,博雅互动国际有限公司,软件开发
HK0436,新宇环保,新宇环保集团有限公司,环保工程
HK0438,彩虹新能源,彩虹集团新能源股份有限公司,新能源
HK0439,光启科学,光启科学有限公司,卫星及无线通信
HK0440,大新金融,大新金融集团有限公司,银行
HK0442,海福德集团,海福德集团控股有限公司,珠宝首饰
HK0444,SINCEREWATCH HK,Sincere Watch (Hong Kong) Ltd.,钟表
HK0445,中集天达,中国消防企业集团有限公司,电子元器件
HK0449,志高控股,志高控股有限公司,家电
HK0450,鸿兴印刷集团,鸿兴印刷集团有限公司,包装印刷
HK0451,协鑫新能源,协鑫新能源控股有限公司,新能源
HK0455,天大药业,天大药业有限公司,药品
HK0456,新城市建设发展,新城市建设发展集团有限公司,地产投资
HK0458,联亚集团,联亚集团有限公司,服装配套
HK0459,美联工商铺,美联工商铺有限公司,房地产服务
HK0460,四环医药,四环医药控股集团有限公司,药品
HK0462,天然乳品,天然乳品(新西兰)控股有限公司,乳制品
HK0464,建福集团,建福集团控股有限公司,家电
HK0465,富通科技,富通科技发展控股有限公司,计算机设备
HK0467,联合能源集团,联合能源集团有限公司,油气开采
HK0468,纷美包装,纷美包装有限公司,包装印刷
HK0469,凯普松国际,凯普松国际电子有限公司,电子元器件
HK0471,中播控股,中国移动多媒体广播控股有限公司,卫星及无线通信
HK0472,新丝路文旅,新丝路文旅有限公司,葡萄酒
HK0474,昊天发展集团,昊天发展集团有限公司,信贷
HK0475,中发展控股,中发展控股有限公司,珠宝首饰
HK0476,中国动力控股,中国动力(控股)有限公司,铜
HK0479,华建控股,华建控股有限公司,计算机设备
HK0480,香港兴业国际,香港兴业国际集团有限公司,房地产
HK0482,圣马丁国际,圣马丁国际控股有限公司,消费电子
HK0483,包浩斯国际,包浩斯国际(控股)有限公司,服装
HK0484,云游控股,云游控股有限公司,软件开发
HK0485,中国华星,中国华星集团有限公司,消费电子
HK0486,俄铝,俄铝,铝
HK0487,实德环球,实德环球有限公司,旅游服务
HK0488,丽新发展,丽新发展有限公司,地产投资
HK0489,东风集团股份,东风汽车集团股份有限公司,汽车制造
HK0491,英皇文化产业,英皇文化产业集团有限公司,影视
HK0493,国美零售,国美零售控股有限公司,家电
HK0494,利丰,利丰有限公司,服装配套
HK0495,PALADIN,百利大有限公司,地产投资
HK0496,卡森国际,卡森国际控股有限公司,家具家居
HK0497,资本策略地产,资本策略地产有限公司,房地产
HK0498,保华集团,保华集团有限公司,房屋建筑
HK0499,青岛控股,青岛控股国际有限公司,地产投资
HK0500,先丰服务集团,先丰服务集团有限公司,航空运输
HK0503,朗生医药,朗生医药控股有限公司,药品
HK0505,欢悦互娱,欢悦互娱控股有限公司,铜
HK0506,中国食品,中国食品有限公司,葡萄酒
HK0508,鼎亿集团投资,鼎亿集团投资有限公司,信贷
HK0509,世纪阳光,世纪阳光集团控股有限公司,化肥
HK0510,时富金融服务集团,时富金融服务集团有限公司,证券
HK0511,电视广播,电视广播有限公司,有线电视
HK0512,远大医药,远大医药健康控股有限公司,药品
HK0513,恒和集团,恒和珠宝集团有限公司,珠宝首饰
HK0515,达进东方照明,达进东方照明控股有限公司,电子元器件
HK0517,中远海运国际,中远海运国际(香港)有限公司,港口运输
HK0518,同得仕(集团),同得仕(集团)有限公司,女装
HK0519,实力建业,实力建业集团有限公司,地产投资
HK0520,呷哺呷哺,呷哺呷哺餐饮管理(中国)控股有限公司,餐饮
HK0521,CWT INT'L,CWT International Limited,信息化服务
HK0522,ASM PACIFIC,ASM Pacific Technology Ltd.,半导体
HK0524,长城一带一路,e-Kong Group Ltd.,通信服务
HK0525,广深铁路股份,广深铁路股份有限公司,铁路运输
HK0526,利时集团控股,利时集团(控股)有限公司,家具家居
HK0527,瑞风新能源,中国瑞风新能源控股有限公司,新能源
HK0528,金达控股,金达控股有限公司,纺织品
HK0529,SIS INT'L,新龙国际集团有限公司,通信设备
HK0530,高银金融,高银金融(集团)有限公司,信贷
HK0531,顺诚,顺诚控股有限公司,--
HK0532,WKK INTL (HOLD),Wong's Kong King International (Holdings) Limited,电子元器件
HK0533,金利来集团,金利来集团有限公司,男装
HK0535,金地商置,金地商置集团有限公司,房地产
HK0536,贸易通,贸易通电子贸易有限公司,电商及互联网
HK0538,味千(中国),味千(中国)控股有限公司,餐饮
HK0539,冠华国际控股,冠华国际控股有限公司,纺织品
HK0540,迅捷环球控股,迅捷环球控股有限公司,服装配套
HK0542,富元国际集团,富元国际集团有限公司,酒店
HK0543,太平洋网络,太平洋网络有限公司,电商及互联网
HK0544,大同集团,大同集团有限公司,物流
HK0546,阜丰集团,阜丰集团有限公司,食品添加剂
HK0547,数字王国,数字王国集团有限公司,影视
HK0548,深圳高速公路股份,深圳高速公路股份有限公司,公路运输
HK0549,奇峰化纤,吉林奇峰化纤股份有限公司,--
HK0550,KK文化,KK文化控股有限公司,传媒广告
