index_col,stock_code,shortname,fullname,address,income,profit,number,comedate,book,report,industry,bussiness
1262,HK1560,星星地产,星星地产集团(开曼群岛)有限公司,开曼群岛,--,--,19,2016-07-13,--,,房地产,物业发展及物业投资。
1263,HK1561,万辉化工,万辉化工控股有限公司,开曼群岛,--,--,700,2015-12-01,--,,化工用品,制造及买卖液态涂料、粉末涂料以及分包服务。
1264,HK1563,友联租赁,--,--,--,--,--,2019-03-15,--,,--,--
1265,HK1565,成实外教育,成实外教育有限公司,开曼群岛,--,--,3001,2016-01-15,--,,教育,透过学校向幼稚园至大学不同年龄组别的学生提供教育服务。
1266,HK1566,华夏动漫,华夏动漫形象有限公司,开曼群岛,--,--,439,2015-03-12,--,,动漫,动漫衍生产品贸易、授出动漫角色许可、设立及经营室内主题游乐园以及多媒体动漫娱乐。
1267,HK1568,承达集团,承达集团有限公司,英属维京群岛,--,--,883,2015-12-29,--,,建筑装饰,为香港及澳门的综合室内装潢工程承建商，专门为住宅物业及酒店项目提供专业的室内装潢工程。
1268,HK1569,民生教育,民生教育集团有限公司,开曼群岛,--,--,2156,2017-03-22,--,,教育,于中国提供民办高等学历教育。
1269,HK1570,伟业控股,伟业控股有限公司,新加坡,--,--,425,2016-04-06,--,,房地产,在中国开发住宅和商业房地产物业，以及空调及洁净室设备的生产和贸易。
1270,HK1571,信邦控股,信邦控股有限公司,开曼群岛,--,--,4448,2017-06-28,--,,汽车零部件,制造及销售汽车及电子部件。
1271,HK1572,中国艺术金融,中国艺术金融控股有限公司,开曼群岛,--,--,41,2016-11-08,--,,信贷,提供艺术金融服务：艺术品及资产典当业务；及艺术品及资产拍卖业务。
1272,HK1573,南方能源,中国优质能源集团有限公司,开曼群岛,--,--,1584,2016-07-13,--,,煤炭,在中国贵州省，从事开采及销售无烟煤。
1273,HK1575,慕容控股,慕容控股有限公司,开曼群岛,--,--,2265,2017-01-12,--,,家具家居,生产及销售沙发、沙发套及其他家俱产品。
1274,HK1576,齐鲁高速,--,--,--,--,--,2018-07-19,--,,--,--
1275,HK1577,汇鑫小贷,泉州汇鑫小额贷款股份有限公司,中国福建省,--,--,36,2016-09-30,--,,信贷,向个人企业家、中小企业和微型企业提供实际和灵活的短期融资解决方案。
1276,HK1578,天津银行,天津银行股份有限公司,中国天津市,--,--,6441,2016-03-30,--,,银行,城市商业银行，经营公司银行业务、零售银行业务及资金业务。
